Slno,Course,Vacant Seats,Differently Abled,College,District,College Sector,Course Sector
85,BCom - Finance,0,0,"Govt. Arts College, Thycadu",Thiruvananthapuram,Government,Government
86,BA - English,8,2,"Govt. Arts & Science College,Thazhava",Kollam,Government,Government
87,BA - Malayalam,12,2,"Govt. Arts & Science College,Thazhava",Kollam,Government,Government
88,BA - Sociology,6,0,"Govt. Arts & Science College,Thazhava",Kollam,Government,Government
89,BCom - Finance,2,2,"Govt. Arts & Science College,Thazhava",Kollam,Government,Government
90,BA - English & Communicative English,13,1,"S N College,Punalur",Kollam,Aided,Aided
91,BA - Economics,1,1,"S N College,Punalur",Kollam,Aided,Aided
92,BA - History,1,0,"S N College,Punalur",Kollam,Aided,Aided
93,BSc - Chemistry,25,2,"S N College,Punalur",Kollam,Aided,Aided
94,BSc - Mathematics,29,2,"S N College,Punalur",Kollam,Aided,Aided
95,BSc - Physics,24,2,"S N College,Punalur",Kollam,Aided,Aided
96,BSc - Zoology,8,1,"S N College,Punalur",Kollam,Aided,Aided
97,BCom - Co-operation,0,1,"S N College,Punalur",Kollam,Aided,Aided
98,BA - Economics,0,2,"S N College, Kollam",Kollam,Aided,Aided
99,BA - English,0,0,"S N College, Kollam",Kollam,Aided,Aided
100,BA - Hindi,0,2,"S N College, Kollam",Kollam,Aided,Aided
101,BA - History,0,0,"S N College, Kollam",Kollam,Aided,Aided
102,BA - Malayalam,0,0,"S N College, Kollam",Kollam,Aided,Aided
103,BA - Philosophy,1,1,"S N College, Kollam",Kollam,Aided,Aided
104,BA - Political Science,4,0,"S N College, Kollam",Kollam,Aided,Aided
105,BA - Sanskrit(Vedanda),1,1,"S N College, Kollam",Kollam,Aided,Aided
106,BA - Journalism and Mass Communication,0,0,"S N College, Kollam",Kollam,Aided,Aided
107,BSc - Botany,2,2,"S N College, Kollam",Kollam,Aided,Aided
108,BSc - Botany and Biotechnology,4,1,"S N College, Kollam",Kollam,Aided,Aided
109,BSc - Chemistry,1,3,"S N College, Kollam",Kollam,Aided,Aided
110,BSc - Mathematics,0,3,"S N College, Kollam",Kollam,Aided,Aided
111,BSc - Physics,0,1,"S N College, Kollam",Kollam,Aided,Aided
112,BSc - Physics and Computer Application,1,0,"S N College, Kollam",Kollam,Aided,Aided
113,BSc - Zoology,4,1,"S N College, Kollam",Kollam,Aided,Aided
114,BCom -,1,2,"S N College, Kollam",Kollam,Aided,Aided
115,BA - English and Malayalam Literatures,2,3,"S N College, Kollam",Kollam,Aided,Aided
116,BA - Economics,1,0,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
117,BA - History,0,0,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
118,BA - Malayalam,0,1,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
119,BA - Philosophy,1,2,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
120,BA - Political Science,0,0,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
121,BSc - Botany,9,1,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
122,BSc - Chemistry,15,2,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
123,BSc - Computer Science,3,2,"Sree Narayana College, Cherthala",Alappuzha,Aided,Aided
