Slno,Course,Vacant Seats,Differently Abled,College,District,College Sector,Course Sector
550,BBA - Business Administration,8,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
551,BCom - Finance,12,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
552,BSc - Computer Science,15,0,"College of Applied Science(IHRD Centre), Dhanuvachapuram",Thiruvananthapuram,Self Financing,Government Governed - Self Financing
553,BSc - Electronics,20,0,"College of Applied Science(IHRD Centre), Dhanuvachapuram",Thiruvananthapuram,Self Financing,Government Governed - Self Financing
554,BCom - Commerce with Computer Application,11,0,"College of Applied Science(IHRD Centre), Dhanuvachapuram",Thiruvananthapuram,Self Financing,Government Governed - Self Financing
555,BA - English,21,0,"College of Applied Science(IHRD Centre),Perissery,Chengannur",Alappuzha,Government Self Financing,Government Governed - Self Financing
556,BSc - Computer Science,12,0,"College of Applied Science(IHRD Centre),Perissery,Chengannur",Alappuzha,Government Self Financing,Government Governed - Self Financing
557,BCA - Computer Applications,4,0,"College of Applied Science(IHRD Centre),Perissery,Chengannur",Alappuzha,Government Self Financing,Government Governed - Self Financing
558,BCom - Computer Application,8,0,"College of Applied Science(IHRD Centre),Perissery,Chengannur",Alappuzha,Government Self Financing,Government Governed - Self Financing
559,BSc - Computer Science,8,0,"College of Applied Science(IHRD Centre),Kalanjoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
560,BCom - Commerce & Tax Procedure and Practice,13,0,"College of Applied Science(IHRD Centre),Kalanjoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
561,BCom - Commerce with Computer Application,14,0,"College of Applied Science(IHRD Centre),Kalanjoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
562,BBA - Business Administration,12,0,"College of Applied Science(IHRD Centre),Kalanjoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
563,BA - English & Communicative English,16,0,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
564,BSc - Computer Science,8,0,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
565,BSc - Electronics,23,0,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
566,BSc - Physics and Computer Application,18,0,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
567,BCom - Commerce with Computer Application,7,0,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
568,BCA - Computer Applications,1,0,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
569,BBA - Business Administration,6,0,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
570,BSc - Mathematics & Computer Application,16,2,"College of Applied Science(IHRD Centre), Adoor",Pathanamthitta,Government Self Financing,Government Governed - Self Financing
571,BSc - Computer Science,21,0,"College of Applied Science(IHRD Centre),Karthikappally",Alappuzha,Government Self Financing,Government Governed - Self Financing
572,BCom - Commerce with Computer Application,27,0,"College of Applied Science(IHRD Centre),Karthikappally",Alappuzha,Government Self Financing,Government Governed - Self Financing
573,BCA - Computer Applications,11,0,"College of Applied Science(IHRD Centre),Karthikappally",Alappuzha,Government Self Financing,Government Governed - Self Financing
574,BBA - Business Administration,12,0,"College of Applied Science(IHRD Centre),Karthikappally",Alappuzha,Government Self Financing,Government Governed - Self Financing
575,BCom - Finance,15,0,"College of Applied Science(IHRD Centre),Karthikappally",Alappuzha,Government Self Financing,Government Governed - Self Financing
576,BA - English,30,0,"Michaels Institute of Management and Technology,Cherthala",Alappuzha,Self Financing,Self Financing
577,BCom - Travel and Tourism,25,0,"Michaels Institute of Management and Technology,Cherthala",Alappuzha,Self Financing,Self Financing
578,BCA - Computer Applications,6,0,"Michaels Institute of Management and Technology,Cherthala",Alappuzha,Self Financing,Self Financing
579,BCom - Finance,24,0,"Michaels Institute of Management and Technology,Cherthala",Alappuzha,Self Financing,Self Financing
580,BA - English,10,0,"MGM College of Arts & Science,Kadinamkulam,Kaniyapuram",Thiruvananthapuram,Self Financing,Self Financing
581,BA - Journalism and Mass Communication,10,0,"MGM College of Arts & Science,Kadinamkulam,Kaniyapuram",Thiruvananthapuram,Self Financing,Self Financing
582,BSc - Physics,15,0,"MGM College of Arts & Science,Kadinamkulam,Kaniyapuram",Thiruvananthapuram,Self Financing,Self Financing
583,BCom - Commerce with Computer Application,1,0,"MGM College of Arts & Science,Kadinamkulam,Kaniyapuram",Thiruvananthapuram,Self Financing,Self Financing
584,BBA - Business Administration,4,0,"MGM College of Arts & Science,Kadinamkulam,Kaniyapuram",Thiruvananthapuram,Self Financing,Self Financing
585,BCom - Co-operation,9,0,"MGM College of Arts & Science,Kadinamkulam,Kaniyapuram",Thiruvananthapuram,Self Financing,Self Financing
586,BA - English,18,0,Lourdes Matha College of Arts & Science,Thiruvananthapuram,Private,Self Financing
587,BCom - Commerce & Tax Procedure and Practice,16,0,Lourdes Matha College of Arts & Science,Thiruvananthapuram,Private,Self Financing
588,BSc - Botany and Biotechnology,13,0,"KVM College of Arts and Science, Kokkothamangalam,Cherthala",Alappuzha,Self Financing,Self Financing
589,BBA - Business Administration,16,0,"KVM College of Arts and Science, Kokkothamangalam,Cherthala",Alappuzha,Self Financing,Self Financing
590,BCom - Finance,24,0,"KVM College of Arts and Science, Kokkothamangalam,Cherthala",Alappuzha,Self Financing,Self Financing
591,BCom - Computer Application,18,0,"KVM College of Arts and Science, Kokkothamangalam,Cherthala",Alappuzha,Self Financing,Self Financing
592,BA - Economics,29,0,"Mar Ivanios College of Arts & Science,Kallumala,Mavelikara",Alappuzha,Self Financing,Self Financing
593,BA - English,23,0,"Mar Ivanios College of Arts & Science,Kallumala,Mavelikara",Alappuzha,Self Financing,Self Financing
594,BSc - Computer Science,14,0,"Mar Ivanios College of Arts & Science,Kallumala,Mavelikara",Alappuzha,Self Financing,Self Financing
595,BCom - Commerce & Tax Procedure and Practice,16,0,"Mar Ivanios College of Arts & Science,Kallumala,Mavelikara",Alappuzha,Self Financing,Self Financing
596,BCom - Commerce & Tourism and Travel Management,23,0,"Mar Ivanios College of Arts & Science,Kallumala,Mavelikara",Alappuzha,Self Financing,Self Financing
597,BCom - Finance,11,0,"Mar Ivanios College of Arts & Science,Kallumala,Mavelikara",Alappuzha,Self Financing,Self Financing
598,BBA - Logistics,14,2,"Mar Ivanios College of Arts & Science,Kallumala,Mavelikara",Alappuzha,Self Financing,Self Financing
599,BA - Economics,26,0,"Gregorian College of Advanced Studies,Alathara,Sreekariyam",Thiruvananthapuram,Self Financing,Self Financing
600,BA - English,27,0,"Gregorian College of Advanced Studies,Alathara,Sreekariyam",Thiruvananthapuram,Self Financing,Self Financing
601,BSc - Psychology,17,0,"Gregorian College of Advanced Studies,Alathara,Sreekariyam",Thiruvananthapuram,Self Financing,Self Financing
602,BCom - Finance,36,0,"Gregorian College of Advanced Studies,Alathara,Sreekariyam",Thiruvananthapuram,Self Financing,Self Financing
603,BA - English,14,0,"Marian College of Arts & Science, Menamkulam",Thiruvananthapuram,Self Financing,Self Financing
604,BSc - Computer Science,5,0,"Marian College of Arts & Science, Menamkulam",Thiruvananthapuram,Self Financing,Self Financing
605,BSc - Geography,6,0,"Marian College of Arts & Science, Menamkulam",Thiruvananthapuram,Self Financing,Self Financing
606,BSc - Zoology,6,0,"Marian College of Arts & Science, Menamkulam",Thiruvananthapuram,Self Financing,Self Financing
607,BBA - Business Administration,7,0,"Marian College of Arts & Science, Menamkulam",Thiruvananthapuram,Self Financing,Self Financing
608,BCom - Computer Application,7,0,"Marian College of Arts & Science, Menamkulam",Thiruvananthapuram,Self Financing,Self Financing
609,BA - English,17,0,"M.E.S Arts & Science College, Chathannoor",Kollam,Private,Self Financing
610,BSc - Computer Science,17,0,"M.E.S Arts & Science College, Chathannoor",Kollam,Private,Self Financing
611,BCom - Commerce & Tax Procedure and Practice,18,0,"M.E.S Arts & Science College, Chathannoor",Kollam,Private,Self Financing
612,BA - Economics,19,0,"NSS College of Arts & Science,Perayam,Kundara",Kollam,Self Financing,Self Financing
613,BA - English,24,0,"NSS College of Arts & Science,Perayam,Kundara",Kollam,Self Financing,Self Financing
614,BA - History,20,0,"NSS College of Arts & Science,Perayam,Kundara",Kollam,Self Financing,Self Financing
615,BSc - Mathematics,19,0,"NSS College of Arts & Science,Perayam,Kundara",Kollam,Self Financing,Self Financing
616,BSc - Physics,20,0,"NSS College of Arts & Science,Perayam,Kundara",Kollam,Self Financing,Self Financing
617,BCom - Finance,12,0,"NSS College of Arts & Science,Perayam,Kundara",Kollam,Self Financing,Self Financing
618,BCom - Co-operation,16,0,"NSS College of Arts & Science,Perayam,Kundara",Kollam,Self Financing,Self Financing
619,BA - English,15,0,"White Memorial College of Arts and Science, Panachamoodu,Vellarada",Thiruvananthapuram,Self Financing,Self Financing
620,BSc - Chemistry,16,0,"White Memorial College of Arts and Science, Panachamoodu,Vellarada",Thiruvananthapuram,Self Financing,Self Financing
621,BSc - Mathematics,15,0,"White Memorial College of Arts and Science, Panachamoodu,Vellarada",Thiruvananthapuram,Self Financing,Self Financing
622,BSc - Physics,16,0,"White Memorial College of Arts and Science, Panachamoodu,Vellarada",Thiruvananthapuram,Self Financing,Self Financing
623,BSW - Bachelor of Social Work,16,0,"White Memorial College of Arts and Science, Panachamoodu,Vellarada",Thiruvananthapuram,Self Financing,Self Financing
624,BCom - Co-operation,21,0,"White Memorial College of Arts and Science, Panachamoodu,Vellarada",Thiruvananthapuram,Self Financing,Self Financing
625,BCom - Computer Application,25,0,"White Memorial College of Arts and Science, Panachamoodu,Vellarada",Thiruvananthapuram,Self Financing,Self Financing
626,BA - English,26,0,"Sree Narayana Guru College of Advanced Studies ,Nangiarkulangara",Alappuzha,Self Financing,Self Financing
627,BSc - Geography,20,0,"Sree Narayana Guru College of Advanced Studies ,Nangiarkulangara",Alappuzha,Self Financing,Self Financing
628,BSc - Physics,20,0,"Sree Narayana Guru College of Advanced Studies ,Nangiarkulangara",Alappuzha,Self Financing,Aided
629,BSc - Statistics,17,0,"Sree Narayana Guru College of Advanced Studies ,Nangiarkulangara",Alappuzha,Self Financing,Self Financing
630,BCom - Commerce & Tax Procedure and Practice,32,0,"Sree Narayana Guru College of Advanced Studies ,Nangiarkulangara",Alappuzha,Self Financing,Self Financing
631,BCom - Computer Application,25,0,"Sree Narayana Guru College of Advanced Studies ,Nangiarkulangara",Alappuzha,Self Financing,Self Financing
632,BA - English,6,0,"Saraswathi College of Arts & Science,Vilappil",Thiruvananthapuram,Self Financing,Self Financing
633,BSc - Psychology,9,0,"Saraswathi College of Arts & Science,Vilappil",Thiruvananthapuram,Self Financing,Self Financing
634,BSc - Geology,5,0,"Saraswathi College of Arts & Science,Vilappil",Thiruvananthapuram,Self Financing,Self Financing
635,BSc - Physics,12,0,"Saraswathi College of Arts & Science,Vilappil",Thiruvananthapuram,Self Financing,Self Financing
636,BBA - Business Administration,15,0,"Saraswathi College of Arts & Science,Vilappil",Thiruvananthapuram,Self Financing,Self Financing
637,BCom - Finance,0,0,"Saraswathi College of Arts & Science,Vilappil",Thiruvananthapuram,Self Financing,Self Financing
638,BCom - Computer Application,11,0,"Saraswathi College of Arts & Science,Vilappil",Thiruvananthapuram,Self Financing,Self Financing
639,BA - English,21,0,"Mar Gregorios College of Arts & Science, Punnapra",Alappuzha,Self Financing,Self Financing
640,BCom - Commerce & Tax Procedure and Practice,14,0,"Mar Gregorios College of Arts & Science, Punnapra",Alappuzha,Self Financing,Self Financing
641,BCom - Commerce & Tourism and Travel Management,28,0,"Mar Gregorios College of Arts & Science, Punnapra",Alappuzha,Self Financing,Self Financing
642,BCom - Commerce with Computer Application,15,0,"Mar Gregorios College of Arts & Science, Punnapra",Alappuzha,Self Financing,Self Financing
643,BCA - Computer Applications,1,0,"Mar Gregorios College of Arts & Science, Punnapra",Alappuzha,Self Financing,Self Financing
644,BCom - Finance,6,0,"Mar Gregorios College of Arts & Science, Punnapra",Alappuzha,Self Financing,Self Financing
645,BCom - Insurance & Banking,17,0,"Mar Gregorios College of Arts & Science, Punnapra",Alappuzha,Self Financing,Self Financing
646,BA - Economics,13,0,"Mother Theresa College, Nellikad, Kattakada",Thiruvananthapuram,Self Financing,Self Financing
647,BA - English,11,0,"Mother Theresa College, Nellikad, Kattakada",Thiruvananthapuram,Self Financing,Self Financing
648,BA - Malayalam and Mass Communication,26,0,"Mother Theresa College, Nellikad, Kattakada",Thiruvananthapuram,Self Financing,Self Financing
649,BSc - Chemistry,24,0,"Mother Theresa College, Nellikad, Kattakada",Thiruvananthapuram,Self Financing,Self Financing
650,BSc - Mathematics,31,0,"Mother Theresa College, Nellikad, Kattakada",Thiruvananthapuram,Self Financing,Self Financing
651,BSc - Physics,27,0,"Mother Theresa College, Nellikad, Kattakada",Thiruvananthapuram,Self Financing,Self Financing
652,BCom - Commerce with Computer Application,13,0,"Mother Theresa College, Nellikad, Kattakada",Thiruvananthapuram,Self Financing,Self Financing
653,BA - English,21,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
654,BSc - Psychology,8,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
655,BCom - Commerce & Tax Procedure and Practice,15,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
656,BCom - Commerce with Computer Application,14,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
657,BCA - Computer Applications,9,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
658,BBA - Business Administration,3,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
659,BSW - Bachelor of Social Work,16,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
660,BCom - Finance,7,0,"Don Bosco College, Kottiyam",Kollam,Self Financing,Self Financing
661,BA - Economics,8,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
662,BA - English,15,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
663,BA - Sociology,14,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
664,BSc - Mathematics,12,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
665,BBA - Business Administration,5,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
666,BCom - Finance,5,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
667,BCom - Co-operation,0,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
668,BCom - Computer Application,6,0,"KTCT College of Arts & Science, Kallambalam",Thiruvananthapuram,Self Financing,Self Financing
669,BA - English & Communicative English,17,0,"KNM College of Arts & Science, Kanjiramkulam",Thiruvananthapuram,Self Financing,Self Financing
670,BA - English,18,0,"KNM College of Arts & Science, Kanjiramkulam",Thiruvananthapuram,Self Financing,Self Financing
671,BA - History,15,0,"KNM College of Arts & Science, Kanjiramkulam",Thiruvananthapuram,Self Financing,Self Financing
672,BSc - Chemistry,14,0,"KNM College of Arts & Science, Kanjiramkulam",Thiruvananthapuram,Self Financing,Self Financing
673,BSc - Physics,18,0,"KNM College of Arts & Science, Kanjiramkulam",Thiruvananthapuram,Self Financing,Self Financing
674,BBA - Business Administration,14,0,"KNM College of Arts & Science, Kanjiramkulam",Thiruvananthapuram,Self Financing,Self Financing
675,BCom - Co-operation,7,0,"KNM College of Arts & Science, Kanjiramkulam",Thiruvananthapuram,Self Financing,Self Financing
676,BA - English & Communicative English,14,0,"R.ParameswaranPillai Memorial Arts & Science College, Neyyar Dam",Thiruvananthapuram,Self Financing,Self Financing
677,BSc - Computer Science,10,0,"R.ParameswaranPillai Memorial Arts & Science College, Neyyar Dam",Thiruvananthapuram,Self Financing,Self Financing
678,BCom - Commerce with Computer Application,17,0,"R.ParameswaranPillai Memorial Arts & Science College, Neyyar Dam",Thiruvananthapuram,Self Financing,Self Financing
679,BBA - Business Administration,3,0,"R.ParameswaranPillai Memorial Arts & Science College, Neyyar Dam",Thiruvananthapuram,Self Financing,Self Financing
680,BCom - Co-operation,18,0,"R.ParameswaranPillai Memorial Arts & Science College, Neyyar Dam",Kollam,Self Financing,Self Financing
681,BA - Economics,34,0,"Dr Palpu College of Arts & Science,Puthussery",Kollam,Self Financing,Self Financing
682,BA - English,28,0,"Dr Palpu College of Arts & Science,Puthussery",Kollam,Self Financing,Self Financing
683,BA - Political Science,31,0,"Dr Palpu College of Arts & Science,Puthussery",Kollam,Self Financing,Self Financing
684,BA - Journalism and Mass Communication,21,0,"Dr Palpu College of Arts & Science,Puthussery",Kollam,Self Financing,Self Financing
685,BSc - Geology,16,0,"Dr Palpu College of Arts & Science,Puthussery",Kollam,Self Financing,Self Financing
686,BCom - Finance,26,0,"Dr Palpu College of Arts & Science,Puthussery",Kollam,Self Financing,Self Financing
687,BCom - Co-operation,25,0,"Dr Palpu College of Arts & Science,Puthussery",Kollam,Self Financing,Self Financing
688,BA - English,30,0,"Carmel College,Muhamma",Alappuzha,Self Financing,Self Financing
689,BCom - Commerce & Tax Procedure and Practice,25,0,"Carmel College,Muhamma",Alappuzha,Self Financing,Self Financing
690,BCom - Commerce with Computer Application,22,0,"Carmel College,Muhamma",Alappuzha,Self Financing,Self Financing
691,BCA - Computer Applications,10,0,"Carmel College,Muhamma",Alappuzha,Self Financing,Self Financing
692,BA - English,25,0,"Mar Chrysostom College, Paranthal, Adoor",Pathanamthitta,Self Financing,Self Financing
693,BSc - Psychology,13,0,"Mar Chrysostom College, Paranthal, Adoor",Pathanamthitta,Self Financing,Self Financing
694,BCom - Commerce & Tax Procedure and Practice,23,0,"Mar Chrysostom College, Paranthal, Adoor",Pathanamthitta,Self Financing,Self Financing
695,BCom - Commerce with Computer Application,23,0,"Mar Chrysostom College, Paranthal, Adoor",Pathanamthitta,Self Financing,Self Financing
696,BCA - Computer Applications,15,0,"Mar Chrysostom College, Paranthal, Adoor",Pathanamthitta,Self Financing,Self Financing
697,BBA - Logistics,17,2,"Mar Chrysostom College, Paranthal, Adoor",Pathanamthitta,Self Financing,Self Financing
698,BA - English,23,0,"Mannam N S S College,Edamulakkal,Anchal",Kollam,Self Financing,Self Financing
699,BCom - Commerce with Computer Application,27,0,"Mannam N S S College,Edamulakkal,Anchal",Kollam,Self Financing,Self Financing
700,BCom - Finance,18,0,"Mannam N S S College,Edamulakkal,Anchal",Kollam,Self Financing,Self Financing
701,BCom - Co-operation,8,0,"Mannam N S S College,Edamulakkal,Anchal",Kollam,Self Financing,Self Financing
702,BA - English & Communicative English,18,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
703,BA - English,8,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
704,BSc - Psychology,3,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
705,BCom - Commerce & Tax Procedure and Practice,0,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
706,BCom - Commerce & Tourism and Travel Management,15,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
707,BCA - Computer Applications,6,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
708,BBA - Business Administration,10,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
709,BCom - Finance,1,0,"Christ College,Vizhinjam",Thiruvananthapuram,Self Financing,Self Financing
710,BA - English,27,0,"Mater Dei CMI College ,Enath,Pathanamthitta",Pathanamthitta,Self Financing,Self Financing
711,BSc - Psychology,18,0,"Mater Dei CMI College ,Enath,Pathanamthitta",Pathanamthitta,Self Financing,Self Financing
712,BCom - Commerce & Tax Procedure and Practice,27,0,"Mater Dei CMI College ,Enath,Pathanamthitta",Pathanamthitta,Self Financing,Self Financing
713,BCom - Commerce with Computer Application,24,0,"Mater Dei CMI College ,Enath,Pathanamthitta",Pathanamthitta,Self Financing,Self Financing
714,BBA - Business Administration,30,0,"Mater Dei CMI College ,Enath,Pathanamthitta",Pathanamthitta,Self Financing,Self Financing
715,BCom - Travel and Tourism,8,0,Kerala Institute of Tourism and Travel Studies,Thiruvananthapuram,Self Financing,Self Financing
716,BBA - Business Administration,5,0,Kerala Institute of Tourism and Travel Studies,Thiruvananthapuram,Self Financing,Self Financing
717,BA - Economics,23,0,"R.Sankar College of Arts & Science, Thazham South,Chathanoor",Kollam,Self Financing,Self Financing
718,BA - English,24,0,"R.Sankar College of Arts & Science, Thazham South,Chathanoor",Kollam,Self Financing,Self Financing
719,BSc - Chemistry,21,0,"R.Sankar College of Arts & Science, Thazham South,Chathanoor",Kollam,Self Financing,Self Financing
720,BSc - Physics,25,0,"R.Sankar College of Arts & Science, Thazham South,Chathanoor",Kollam,Self Financing,Self Financing
721,BCom - Commerce with Computer Application,22,0,"R.Sankar College of Arts & Science, Thazham South,Chathanoor",Kollam,Self Financing,Self Financing
722,BMS - Hotel Management,22,0,"R.Sankar College of Arts & Science, Thazham South,Chathanoor",Kollam,Self Financing,Self Financing
723,BA - English & Communicative English,10,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
724,BA - Economics,11,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
725,BA - Journalism and Mass Communication,7,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
726,BSc - Botany,12,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
727,BSc - Botany and Biotechnology,11,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
728,BSc - Computer Science,0,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
729,BSc - Biochemistry and Industrial Microbiology,11,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
730,BBA - Business Administration,0,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
731,BMS - Hotel Management,18,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
732,BCom - Finance,0,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
733,BCom - Computer Application,0,0,"A J College of Science and Technology, Thonnakkal",Thiruvananthapuram,Self Financing,Self Financing
734,BA - English,8,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
735,BSc - Psychology,2,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
736,BSc - Chemistry,20,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
737,BSc - Geography,10,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
738,BSc - Geology,19,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
739,BSc - Physics,22,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
740,BCom - Commerce & Tax Procedure and Practice,1,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
741,BCom - Co-operation,0,0,"Sree Narayana Guru College of Advanced Studies, Chempazhanthy",Thiruvananthapuram,Self Financing,Self Financing
742,BA - English,27,0,"Travancore Arts and Science College, Madathara, Palode",Thiruvananthapuram,Self Financing,Self Financing
743,BCom - Commerce with Computer Application,28,0,"Travancore Arts and Science College, Madathara, Palode",Thiruvananthapuram,Self Financing,Self Financing
744,BCom - Finance,22,0,"Travancore Arts and Science College, Madathara, Palode",Thiruvananthapuram,Self Financing,Self Financing
745,BCom - Co-operation,23,0,"Travancore Arts and Science College, Madathara, Palode",Thiruvananthapuram,Self Financing,Self Financing
746,BA - Economics,21,0,"IMDR College of Advanced Studies, Cheriyakonni",Thiruvananthapuram,Self Financing,Self Financing
747,BA - English,21,0,"IMDR College of Advanced Studies, Cheriyakonni",Thiruvananthapuram,Self Financing,Self Financing
748,BCom - Commerce & Tax Procedure and Practice,27,0,"IMDR College of Advanced Studies, Cheriyakonni",Thiruvananthapuram,Self Financing,Self Financing
749,BBA - Business Administration,19,0,"IMDR College of Advanced Studies, Cheriyakonni",Thiruvananthapuram,Self Financing,Self Financing
750,BCom - Finance,18,0,"IMDR College of Advanced Studies, Cheriyakonni",Thiruvananthapuram,Self Financing,Self Financing
751,BCom - Insurance & Banking,27,0,"IMDR College of Advanced Studies, Cheriyakonni",Thiruvananthapuram,Self Financing,Self Financing
752,BCom - Commerce with Computer Application,28,0,"Grace International Academy, Punalur",Kollam,Self Financing,Self Financing
753,BBA - Business Administration,28,0,"Grace International Academy, Punalur",Kollam,Self Financing,Self Financing
754,BCom - Finance,30,0,"Grace International Academy, Punalur",Kollam,Self Financing,Self Financing
755,BA - English,11,0,"Vigyaan College of Applied Science,Kattakada",Thiruvananthapuram,Self Financing,Self Financing
756,BCom - Commerce with Computer Application,20,0,"Vigyaan College of Applied Science,Kattakada",Thiruvananthapuram,Self Financing,Self Financing
757,BCA - Computer Applications,10,0,"Vigyaan College of Applied Science,Kattakada",Thiruvananthapuram,Self Financing,Self Financing
758,BBA - Business Administration,8,0,"Vigyaan College of Applied Science,Kattakada",Thiruvananthapuram,Self Financing,Self Financing
759,BCom - Co-operation,14,0,"Vigyaan College of Applied Science,Kattakada",Thiruvananthapuram,Self Financing,Self Financing
760,BA - English,2,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
761,BSc - Psychology,2,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
762,BA - Journalism and Mass Communication,12,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
763,BSc - Mathematics,10,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
764,BSc - Physics and Computer Application,4,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
765,BSc - Statistics,7,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
766,BCom - Commerce & Tax Procedure and Practice,1,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
767,BCom - Commerce with Computer Application,0,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
768,BCA - Computer Applications,0,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
769,BBA - Business Administration,0,0,Christ Nagar College Maranalloor,Thiruvananthapuram,Self Financing,Self Financing
770,BA - English,20,0,"Sree Narayana Guru Memorial Arts & Science College, Thuravoor",Alappuzha,Self Financing,Self Financing
771,BSc - Botany and Biotechnology,15,0,"Sree Narayana Guru Memorial Arts & Science College, Thuravoor",Alappuzha,Self Financing,Self Financing
772,BCom - Commerce & Tax Procedure and Practice,16,0,"Sree Narayana Guru Memorial Arts & Science College, Thuravoor",Alappuzha,Self Financing,Self Financing
773,BCom - Commerce with Computer Application,11,0,"Sree Narayana Guru Memorial Arts & Science College, Thuravoor",Alappuzha,Self Financing,Self Financing
774,BCA - Computer Applications,8,0,"Sree Narayana Guru Memorial Arts & Science College, Thuravoor",Alappuzha,Self Financing,Self Financing
775,BBA - Business Administration,15,0,"Sree Narayana Guru Memorial Arts & Science College, Thuravoor",Alappuzha,Self Financing,Self Financing
